step,train_loss,val_loss
0,5.654451370239258,5.5609450340271
100,2.875051498413086,2.916443109512329
200,2.5923566818237305,2.59222674369812
300,2.4726996421813965,2.483604907989502
400,2.3659470081329346,2.40548038482666
500,2.331692695617676,2.3107523918151855
600,2.2234537601470947,2.245250940322876
700,2.2065036296844482,2.203639507293701
800,2.1694254875183105,2.1627488136291504
900,2.086169481277466,2.137455463409424
1000,2.0723235607147217,2.093907117843628
1100,2.0236668586730957,2.077481985092163
1200,1.9444301128387451,2.055615186691284
1300,1.9605556726455688,2.0215187072753906
1400,1.9381545782089233,2.010946750640869
1500,1.8834028244018555,1.996240258216858
1600,1.8797112703323364,1.9808992147445679
1700,1.9012051820755005,1.9650661945343018
1800,1.8595540523529053,1.9537508487701416
1900,1.879062533378601,1.9513943195343018
2000,1.8244681358337402,1.933640480041504
2100,1.8333438634872437,1.9200454950332642
2200,1.760009527206421,1.9103797674179077
2300,1.7347906827926636,1.8943439722061157
2400,1.7589991092681885,1.8833891153335571
2500,1.736007809638977,1.8713457584381104
2600,1.7477530241012573,1.8740174770355225
2700,1.6718356609344482,1.8740243911743164
2800,1.6827917098999023,1.8635591268539429
2900,1.6985682249069214,1.8650484085083008
2999,1.6950562000274658,1.826215386390686
